work_context,role_seat,region,design_tools,code_in_workflow,anticipated_investment,vibe_coding_ratio,built_own_tool,ai_trust,blockers,workflow_shift,role_outlook,workflow_satisfaction
Startup in-house (2–100),Design engineer,Eastern Europe,"Webflow, Gemini, Figma, Nanobanana, Adobe Firefly, Google Antigravity, Gemini CLI","I write production code, I hand-code prototypes but not production, I use AI or no-code to generate code","Agent workflows & automations, AI-generated coding, Design systems & tokens",About half,"No, but I want to",First drafts I heavily edit,"Engineering team constraints, Security or compliance policy, Budget or procurement friction","Added new tools, AI included","More valuable, my skills matter more than before",4.0
Independent or freelance,Lead or principal,South America,"Figma, Framer","I use AI or no-code to generate code, I hand-code prototypes but not production","Agent workflows & automations, Design systems & tokens, Simplifying my stack",Nearly all of it,"Yes, once or twice",First drafts I heavily edit,"Too many tools, unclear which to commit, AI output quality isn't reliable enough","Still in flux, changing often","More valuable, my skills matter more than before",9.0
Startup in-house (2–100),Designer (Individual contributor),Northern Europe,Figma,I write production code,"No-code tools (not AI), AI-generated coding, Manual coding",None,"No, but I want to",Exploration and brainstorming only,"AI output quality isn't reliable enough, Too many tools, unclear which to commit",Consolidated into fewer tools,About the same,6.0
Agency or consulting,Design manager or director,North America,"Replit, Figma, Gemini, Copilot (Microsoft), PowerPoint, Microsoft Teams, Miro","I use AI or no-code to generate code, Code isn't part of my workflow","Canvas design tools, Agent workflows & automations, Design systems & tokens",None,"Yes, once or twice",Working output I review before shipping,"Budget or procurement friction, Security or compliance policy",AI is now central — major shift,"Less secure, AI is changing what's expected of me",8.0
Startup in-house (2–100),Lead or principal,South America,"Claude Code, Figma Make, Google Stitch, Claude, ChatGPT, Gemini, Lovable, FigJam, Webflow, Framer, UserTesting, Maze, Lyssna, Hotjar, Slack, Microsoft Teams, Loom, Zoom, Google Meet, Discord, Google Slides, Trello, LottieFiles, After Effects, Figma","I use AI or no-code to generate code, I review or inspect code but don't write it","No-code tools (not AI), Video, motion, & 3D, Agent workflows & automations",Most of it,"Yes, once or twice",Working output I review before shipping,"Budget or procurement friction, Too many tools, unclear which to commit, Time to learn new tools","Added new tools, AI included",Honestly not sure,8.0
Startup in-house (2–100),Design manager or director,North America,"Vibecode, Claude Code, Cursor, Midjourney, Nanobanana, Figma, Claude, Jitter, LottieFiles, Notion, Google Slides, Google Meet, Loom, Zoom, Slack, Hotjar, Webflow, FigJam","I hand-code prototypes but not production, I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, Agent workflows & automations, Design systems & tokens",Most of it,"Yes, once or twice",Exploration and brainstorming only,"Time to learn new tools, Budget or procurement friction","Added new tools, AI included",About the same,7.0
"Enterprise in-house (1,000+)",Researcher,Northern Europe,"Make, Lovable, Miro, UserTesting, Dscout, Microsoft Teams, PowerPoint, Jira, Gemini, Copilot (Microsoft), Paper, Adobe Firefly, DALL-E, Krea, Nanobanana, Runway, Figma, Figma Make, Google Stitch, GitHub Copilot, Google Antigravity",I use AI or no-code to generate code,"AI-generated coding, Video, motion, & 3D",Nearly all of it,"Yes, I build personal tools regularly",Exploration and brainstorming only,"Security or compliance policy, Too many tools, unclear which to commit, Time to learn new tools",Mostly the same,About the same,8.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Northern Europe,"Figma, Confluence","Code isn't part of my workflow, I review or inspect code but don't write it","Design systems & tokens, Canvas design tools, AI-generated coding",None,"Yes, once or twice",Working output I review before shipping,"AI output quality isn't reliable enough, Too many tools, unclear which to commit",Mostly the same,Honestly not sure,8.0
Startup in-house (2–100),Lead or principal,Australia & New Zealand,"Magic Patterns, GitHub Copilot, Claude Code, Claude, Figma, FigJam, Miro",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations, Design systems & tokens",Most of it,"No, but I want to",Exploration and brainstorming only,"AI output quality isn't reliable enough, Security or compliance policy, Budget or procurement friction","Added new tools, AI included",About the same,7.0
Startup in-house (2–100),Design manager or director,Western Europe,"FigJam, Webflow, Google Meet, Discord, Notion, Perplexity, Gemini, Claude, Figma, Nanobanana, Adobe Firefly, Figma Make",I review or inspect code but don't write it,"AI-generated coding, Agent workflows & automations, Manual coding",Occasionally,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, Too many tools, unclear which to commit","Added new tools, AI included",About the same,7.0
"Student, educator, or between roles",Design manager or director,North America,"Lovable, Figma Make, Figma, ChatGPT, Claude, Gemini, Jira, Notion, PowerPoint, Google Slides, Gamma, Google Meet, Slack, Microsoft Teams, Zoom, Carrd, Squarespace, Miro","I use AI or no-code to generate code, Code isn't part of my workflow","AI-generated coding, Agent workflows & automations, Design systems & tokens",None,"Yes, once or twice",First drafts I heavily edit,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Added new tools, AI included",Honestly not sure,7.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Claude Code, Claude, Figma, Slack, LottieFiles, ChatGPT, Linear, Gemini","I use AI or no-code to generate code, I hand-code prototypes but not production","Design systems & tokens, AI-generated coding, Simplifying my stack",Nearly all of it,"Yes, once or twice",First drafts I heavily edit,"Time to learn new tools, AI output quality isn't reliable enough",AI is now central — major shift,"More valuable, my skills matter more than before",7.0
Agency or consulting,Designer (Individual contributor),South Asia,"Figma, Mottif, ChatGPT, Illustrator, Photoshop, Google Stitch",Code isn't part of my workflow,"Canvas design tools, Simplifying my stack",None,"No, and I don't plan to",Exploration and brainstorming only,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Other: Most AI tools are paid","Added new tools, AI included",About the same,9.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Western Europe,"Claude Cowork, Figma, Figma Make, Replit, v0 (Vercel), Claude Code, GitHub Copilot, Gemini","I write production code, I use AI or no-code to generate code","AI-generated coding, Agent workflows & automations, Simplifying my stack",About half,"Yes, I build personal tools regularly",First drafts I heavily edit,"Budget or procurement friction, Engineering team constraints","Still in flux, changing often","More valuable, my skills matter more than before",7.0
Independent or freelance,Designer (Individual contributor),South America,"Figma, Gemini, Google Slides, Google Meet, FigJam",I write production code,"Manual coding, Design systems & tokens, Agent workflows & automations",Most of it,"Yes, once or twice",First drafts I heavily edit,"Time to learn new tools, Too many tools, unclear which to commit, AI output quality isn't reliable enough","Added new tools, AI included",About the same,6.0
Independent or freelance,Design engineer,North America,"Claude Code, Gemini CLI, Zed, Claude, Gemini, Notion, Google Meet, Microsoft Teams","I use AI or no-code to generate code, I write production code, I hand-code prototypes but not production","AI-generated coding, Canvas design tools, Design systems & tokens",Nearly all of it,"Yes, once or twice",Ships with minor tweaks,"AI output quality isn't reliable enough, Time to learn new tools","Added new tools, AI included",Honestly not sure,9.0
"Student, educator, or between roles",Designer (Individual contributor),Western Europe,"Figma Make, Claude Code, Miro, Trello, Figma","I use AI or no-code to generate code, I hand-code prototypes but not production","Design systems & tokens, Simplifying my stack, Manual coding",Occasionally,"Yes, once or twice",Exploration and brainstorming only,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Time to learn new tools","Still in flux, changing often",About the same,3.0
Independent or freelance,Design engineer,North America,"Claude, Google Antigravity, Gemini CLI, Jules, Cursor, Vibecode, Gemini","I write production code, I use AI or no-code to generate code","Agent workflows & automations, Simplifying my stack, AI-generated coding",About half,"Yes, I build personal tools regularly",Working output I review before shipping,"Too many tools, unclear which to commit, AI output quality isn't reliable enough, Time to learn new tools","Added new tools, AI included",Honestly not sure,7.0
Startup in-house (2–100),Lead or principal,Western Europe,"Claude Cowork, Vibecode, v0 (Vercel), Cursor, Claude Code, Figma Make, Nanobanana, Figma, Storybook, ChatGPT, Claude, Gemini, Perplexity, LottieFiles, Linear, Notion, Slack, Webflow, Excalidraw",I write production code,"Video, motion, & 3D, Agent workflows & automations, Design systems & tokens",Most of it,"Yes, once or twice",Working output I review before shipping,"AI output quality isn't reliable enough, Time to learn new tools",AI is now central — major shift,About the same,4.0
Agency or consulting,Lead or principal,South America,"Figma, v0 (Vercel), ChatGPT, Gemini, Jitter, Trello, Google Meet","I write production code, I use AI or no-code to generate code","Agent workflows & automations, Image generation, Simplifying my stack",Occasionally,"No, but I want to",Working output I review before shipping,"Other: Planning, meetings, quotes, basically admin stuff","Still in flux, changing often",About the same,7.0
